<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0177.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0177.txt </filename>
<title>생각하는 물리 </title>
<author>박성식  </author>
<date>1995  </date>
<publisher>도솔  </publisher>
<kdc>420  </kdc>
<ddc>530  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
우리는	우리/npp+는/jxc
속력은	속력/ncn+은/jxc
보트의	보트/ncn+의/jcm
최대	최대/ncn
속력에	속력/ncn+에/jca
비하면	비하/pvg+면/ecs
작은	작/paa+은/etm
것이기는	것/nbn+이/jp+기/etn+는/jxc
하지만	하/pvg+지만/ecs
,	,/sp
보트의	보트/ncn+의/jcm
운동에	운동/ncn+에/jca
영향을	영향/ncn+을/jco
줄	주/pvg+ㄹ/etm
것임에는	것/nbn+이/jp+ㅁ/etn+에/jca+는/jxc
틀림없다	틀림/ncn+없/paa+다/ef
.	./sf
자	자/ii
,	,/sp
이제	이제/mag
강폭이	강폭/ncn+이/jcs
100	100/nnc
m	m/su
인	이/jp+ㄴ/etm
강	강/ncn
위에서	위/ncn+에서/jca
보트	보트/ncn
경주를	경주/ncn+를/jco
해보자	하/pvg+어/ecx+보/px+자/ef
.	./sf
우선	우선/mag
보트	보트/ncn
1	1/nnc
호는	호/nbu+는/jxc
강을	강/ncn+을/jco
수직으로	수직/ncn+으로/jca
왕복하고	왕복/ncpa+하/xsv+고/ecc
,	,/sp
보트	보트/ncn
2	2/nnc
호는	호/nbu+는/jxc
그와	그/npp+와/jct
똑같은	똑같/paa+은/etm
거리를	거리/ncn+를/jco
강의	강/ncn+의/jcm
흐름을	흐름/ncn+을/jco
따라	따르/pvg+아/ecx
내려갔다가	내리/pvg+어/ecs+가/pvg+았/ep+다가/ecs
다시	다시/mag
강을	강/ncn+을/jco
거슬러	거스르/pvg+어/ecs
올라오기도	오르/pvg+아/ecs+오/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
보트	보트/ncn
1	1/nnc
호가	호/nbu+가/jcs
강을	강/ncn+을/jco
수직으로	수직/ncn+으로/jca
건너려면	건너/pvg+려면/ecs
보트의	보트/ncn+의/jcm
앞부분은	앞/ncn+부분/ncn+은/jxc
강	강/ncn
상류	상류/ncn
쪽으로	쪽/nbn+으로/jca
약간	약간/ncn
돌려서	돌리/pvg+어서/ecs
출발해야	출발/ncpa+하/xsv+어야/ecs
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
,	,/sp
보트	보트/ncn
2	2/nnc
호가	호/nbu+가/jcs
강을	강/ncn+을/jco
거슬러	거스르/pvg+어/ecs
올라오려면	오르/pvg+아/ecs+오/pvg+려면/ecs
강물의	강물/ncn+의/jcm
속력보다는	속력/ncn+보다/jca+는/jxc
보트의	보트/ncn+의/jcm
속력이	속력/ncn+이/jcs
커야	크/paa+어야/ecs
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
물론	물론/mag
,	,/sp
보트	보트/ncn
1	1/nnc
호와	호/nbu+와/jcj
2	2/nnc
호의	호/nbu+의/jcm
속력은	속력/ncn+은/jxc
똑같이	똑같/paa+이/xsa
해야	하/pvg+어야/ecs
하며	하/px+며/ecc
왕복	왕복/ncn
거리도	거리/ncn+도/jxc
같다	같/paa+다/ef
.	./sf
그러면	그러면/maj
보트	보트/ncn
1	1/nnc
호와	호/nbu+와/jcj
2	2/nnc
호중	호/nbu+중/nbn
누가	누/npp+가/jcs
빨리	빠르/paa+이/xsa
돌아올까	돌/pvg+아/ecs+오/pvg+ㄹ까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
보트	보트/ncn
1	1/nnc
호	호/nbu
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
보트	보트/ncn
2	2/nnc
호	호/nbu
.	./sf
곰곰이	곰곰이/nq
:	:/sp
같다	같/paa+다/ef
.	./sf
똘똘이	똘똘이/ncn
:	:/sp
강물의	강물/ncn+의/jcm
속력과	속력/ncn+과/jcj
보트의	보트/ncn+의/jcm
속력에	속력/ncn+에/jca
따라	따르/pvg+아/ecs
달라진다	다르/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/px+ㄹ까/ef+요/jxf
?	?/sf
보트	보트/ncn
1	1/nnc
호가	호/nbu+가/jcs
강을	강/ncn+을/jco
수직	수직/ncn
왕복하는	왕복/ncpa+하/xsv+는/etm
데	데/nbn
걸리는	걸리/pvg+는/etm
시간	시간/ncn
t1	t/f+1/nnc
을	을/jco
구해보자	구하/pvg+어/ecx+보/px+자/ef
.	./sf
23	23/nnc
페이지의	페이지/nbu+의/jcm
그림처럼	그림/ncn+처럼/jca
강물의	강물/ncn+의/jcm
속도를	속도/ncn+를/jco
U	U/f
,	,/sp
보트의	보트/ncn+의/jcm
속도를	속도/ncn+를/jco
V	V/f
라고	라고/ecs
하면	하/pvg+면/ecs
,	,/sp
보트가	보트/ncn+가/jcs
실제로	실제/ncn+로/jca
수직	수직/ncn
방향으로	방향/ncn+으로/jca
달리는	달리/pvg+는/etm
속도는	속도/ncn+는/jxc
임을	이/jp+ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이	이/mmd
속도로	속도/ncn+로/jca
강을	강/ncn+을/jco
수직으로	수직/ncn+으로/jca
왕복하는	왕복/ncpa+하/xsv+는/etm
것이므로	것/nbn+이/jp+므로/ecs
강의	강/ncn+의/jcm
수직거리를	수직/ncn+거리/ncn+를/jco
L	L/f
이라고	이/jp+라고/ecs
하면	하/pvg+면/ecs
,	,/sp
걸린	걸리/pvg+ㄴ/etm
시간	시간/ncn
t1	t/f+1/nnc
은	은/jxc
이다	이/jp+다/ef
.	./sf
한편	한편/maj
보트	보트/ncn
2	2/nnc
호가	호/nbu+가/jcs
강에	강/ncn+에/jca
따라	따르/pvg+아/ecs
L	L/f
만큼	만큼/jxc
내려갈	내리/pvg+어/ecs+가/pvg+ㄹ/etm
때는	때/ncn+는/jxc
강물	강물/ncn
속도	속도/ncn
U	U/f
와	와/jcj
보트	보트/ncn
속도	속도/ncn
V	V/f
가	가/jcs
더해지므로	더하/pvg+어/ecx+지/px+므로/ecs
의	의/jcm
시간이	시간/ncn+이/jcs
걸리고	걸리/pvg+고/ecc
,	,/sp
반대로	반대/ncn+로/jca
강물을	강물/ncn+을/jco
거슬러	거스르/pvg+어/ecs
같은	같/paa+은/etm
거리	거리/ncn
L	L/f
만큼	만큼/jxc
때는	되돌/pvg+아/ecs+오/pvg+ㄹ/etm+때/ncn+는/jxc
의	의/jcm
시간이	시간/ncn+이/jcs
걸리므로	걸리/pvg+므로/ecs
왕복시간	왕복/ncn+시간/ncn
t2	t/f+2/nnc
는	는/jxc
이	이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
이제	이제/mag
t1	t/f+1/nnc
과	과/jcj
t2	t/f+2/nnc
를	를/jco
비교하기	비교/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
t1	t/f+1/nnc
을	을/jco
t2	t/f+2/nnc
로	로/jca
나누어	나누/pvg+어/ecx
보자	보/px+자/ef
.	./sf
따라서	따라서/maj
이다	이/jp+다/ef
.	./sf
그런데	그런데/maj
여기서	여기/npd+서/jca
U	U/f
는	는/jxc
강물의	강물/ncn+의/jcm
속력이고	속력/ncn+이/jp+고/ecc
V	V/f
는	는/jxc
보트의	보트/ncn+의/jcm
속력이므로	속력/ncn+이/jp+므로/ecs
,	,/sp
V	V/f
>	>/sr
U	U/f
이다	이/jp+다/ef
.	./sf
따라서	따라서/maj
루트	루트/ncn
안이	안/ncn+이/jcs
1	1/nnc
보다	보다/jca
작으므로	작/paa+으므로/ecs
결론은	결론/ncn+은/jxc
이다	이/jp+다/ef
.	./sf
즉	즉/mag
,	,/sp
강을	강/ncn+을/jco
수직	수직/ncn
왕복하는	왕복/ncpa+하/xsv+는/etm
보트가	보트/ncn+가/jcs
더	더/mag
빨리	빠르/paa+이/xsa
돌아온다는	돌/pvg+아/ecs+오/pvg+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
여기서	여기/npd+서/jca
의식을	의식/ncn+을/jco
다시	다시/mag
한번	한번/ncn
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
만일	만일/mag
강물이	강물/ncn+이/jcs
고요히	고요/ncn+히/xsa
정지해	정지/ncpa+하/xsv+어/ecx
있다면	있/px+다면/ecs
U	U/f
=	=/sy
0	0/nnc
이고	이/jp+고/ecc
,	,/sp
이때는	이/mmd+때/ncn+는/jxc
t1	t/f+1/nnc
=	=/sy
t2	t/f+2/nnc
가	가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
또한	또한/maj
보트의	보트/ncn+의/jcm
속도가	속도/ncn+가/jcs
강물의	강물/ncn+의/jcm
속도보다	속도/ncn+보다/jca
훨씬	훨씬/mag
더	더/mag
클	크/paa+ㄹ/etm
때도	때/ncn+도/jxc
비슷한	비슷/ncps+하/xsm+ㄴ/etm
결과가	결과/ncn+가/jcs
나온다	나오/pvg+ㄴ다/ef
.	./sf
반대로	반대/ncn+로/jca
강물의	강물/ncn+의/jcm
속도가	속도/ncn+가/jcs
보트의	보트/ncn+의/jcm
속도보다	속도/ncn+보다/jca
크면	크/paa+면/ecs
루트	루트/ncn
안이	안/ncn+이/jcs
허수가	허수/ncn+가/jcc
되는데	되/pvg+는데/ecs
,	,/sp
이것은	이것/npd+은/jxc
보트가	보트/ncn+가/jcs
강물을	강물/ncn+을/jco
거슬러	거스르/pvg+어/ecx
올라갈	오르/pvg+아/ecs+가/pvg+ㄹ/etm
수	수/nbn
없음을	없/paa+음/etn+을/jco
알려	알리/pvg+어/ecx
준다	주/px+ㄴ다/ef
.	./sf
참고로	참고/ncn+로/jca
의	의/jcm
식은	식/ncn+은/jxc
특수	특수/ncn
상대성	상대성/ncn
이론에서	이론/ncn+에서/jca
자주	자주/mag
등장한다는	등장/ncpa+하/xsv+ㄴ다/ef+는/etm
것도	것/nbn+도/jxc
알아	알/pvg+아/ecx
두면	두/px+면/ecs
좋다	좋/paa+다/ef
.	./sf
즉	즉/mag
,	,/sp
특수	특수/ncn
상대성	상대성/ncn
이론에서는	이론/ncn+에서/jca+는/jxc
물체의	물체/ncn+의/jcm
속도가	속도/ncn+가/jcs
빛에	빛/ncn+에/jca
가까워지면	가깝/paa+어/ecx+지/px+면/ecs
질량은	질량/ncn+은/jxc
늘고	늘/pvg+고/ecc
시간은	시간/ncn+은/jxc
늦게	늦/paa+게/ecs
가게	가/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
그	그/mmd
식은	식/ncn+은/jxc
다음과	다음/ncn+과/jct
같다	같/paa+다/ef
.	./sf
(	(/sl
여기서	여기/pvg+서/jca
t	t/f
,	,/sp
m	m/f
는	는/jxc
정지	정지/ncn
물체가	물체/ncn+가/jcs
갖는	갖/pvg+는/etm
시간과	시간/ncn+과/jcj
질량이며	질량/ncn+이/jp+며/ecc
,	,/sp
t	t/f
와	와/jcj
m	m/f
은	은/jxc
속도	속도/ncn
V	V/f
로	로/jca
운동할	운동/ncpa+하/xsv+ㄹ/etm
때	때/ncn
늘어난	늘어나/pvg+ㄴ/etm
시간과	시간/ncn+과/jcj
질량이다	질량/ncn+이/jp+다/ef
.	./sf
그리고	그리고/maj
C	C/f
는	는/jxc
빛의	빛/ncn+의/jcm
속력이다	속력/ncn+이/jp+다/ef
.)	./sf+)/sr
따라서	따라서/maj
차돌이의	차돌이/nq+의/jcm
생각이	생각/ncn+이/jcs
정답이다	정답/ncn+이/jp+다/ef
.	./sf
달리는	달리/pvg+는/etm
차창에	차창/ncn+에/jca
비가	비/ncn+가/jcs
내리네	내리/pvg+네/ef
달리는	달리/pvg+는/etm
차	차/nbu
속에서	속/ncn+에서/jca
빗방울이	빗방울/ncn+이/jcs
차창에	차창/ncn+에/jca
부딪쳐	부딪치/pvg+어/ecx
흘러내리는	흐르/pvg+어/ecs+내리/pvg+는/etm
것을	것/nbn+을/jco
보면	보/pvg+면/ecs
웬지	웬지/mag
감상에	감상/ncn+에/jca
젖을	젖/pvg+을/etm
때가	때/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
차창에	차창/ncn+에/jca
어지럽게	어지럽/paa+게/ecs
흩어지는	흩어지/pvg+는/etm
빗물	빗물/ncn
자국은	자국/ncn+은/jxc
질서	질서/ncn
없이	없/paa+이/xsa
제멋대로	제멋/ncn+대로/jxc
부딪쳐	부딪치/pvg+어/ecx
흘러내린	흐르/pvg+어/ecs+내리/pvg+ㄴ/etm
것처럼	것/nbn+처럼/jca
보이지만	보이/pvg+지만/ecs
,	,/sp
물리학적인	물리/ncn+학/xsn+적/xsn+이/jp+ㄴ/etm
감상법을	감상/ncn+법/ncn+을/jco
동원해	동원/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
차의	차/ncn+의/jcm
운동과	운동/ncn+과/jcj
어떤	어떤/mmd
관계가	관계/ncn+가/jcs
있다는	있/paa+다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
밖에서	밖/ncn+에서/jca
고요히	고요/ncn+히/xsa
내리는	내리/pvg+는/etm
비는	비/ncn+는/jxc
일정한	일정/ncps+하/xsm+ㄴ/etm
속력으로	속력/ncn+으로/jca
달리는	달리/pvg+는/etm
차의	차/nbu+의/jcm
창에	창/ncn+에/jca
부딪칠	부딪치/pvg+ㄹ/etm
때	때/ncn
,	,/sp
어떤	어떤/mmd
각도를	각도/ncn+를/jco
이루며	이루/pvg+며/ecs
비스듬히	비스듬/ncn+히/xsa
흐른다	흐르/pvg+ㄴ다/ef
.	./sf
그렇다면	그렇다면/maj
차창에	차창/ncn+에/jca
부딪친	부딪치/pvg+ㄴ/etm
비를	비/ncn+를/jco
보고	보/pvg+고/ecs
차	차/ncn
속에서	속/ncn+에서/jca
비가	비/ncn+가/jcs
내리는	내리/pvg+는/etm
속력을	속력/ncn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
알	알/pvg+ㄹ/etm
수	수/nbn
있다면	있/paa+다면/ecs
필요한	필요/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
무엇일까	무엇/npd+이/jp+ㄹ까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
비가	비/ncn+가/jcs
내리는	내리/pvg+는/etm
속력은	속력/ncn+은/jxc
정지한	정지/ncpa+하/xsv+ㄴ/etm
상태에서만	상태/ncn+에서/jca+만/jxc
정확히	정확/ncn+히/xsa
잴	재/pvg+ㄹ/etm
수	수/nbn
있으므로	있/paa+으므로/ecs
달리는	달리/pvg+는/etm
차	차/ncn
속에서는	속/ncn+에서/jca+는/jxc
비의	비/ncn+의/jcm
속력을	속력/ncn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
차창에	차창/ncn+에/jca
뿌린	뿌리/pvg+ㄴ/etm
빗방울이	빗방울/ncn+이/jcs
어느	어느/mma
정도	정도/ncn
기울어졌는지를	기울어지/pvg+었/ep+는지/ecs+를/jco
잰다면	재/pvg+ㄴ다면/ecs
,	,/sp
밖에서	밖/ncn+에서/jca
내리는	내리/pvg+는/etm
비의	비/ncn+의/jcm
속력을	속력/ncn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
차	차/ncn
속에서	속/ncn+에서/jca
차창에	차창/ncn+에/jca
뿌린	뿌리/pvg+ㄴ/etm
빗방울이	빗방울/ncn+이/jcs
흘러내리는	흐르/pvg+어/ecs+내리/pvg+는/etm
시간과	시간/ncn+과/jcj
거리를	거리/ncn+를/jco
측정하면	측정/ncpa+하/xsv+면/ecs
비의	비/ncn+의/jcm
속력을	속력/ncn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
차창에	차창/ncn+에/jca
뿌린	뿌리/pvg+ㄴ/etm
빗방울의	빗방울/ncn+의/jcm
각도와	각도/ncn+와/jcj
차의	차/ncn+의/jcm
속력을	속력/ncn+을/jco
둘	둘/nnc
다	다/mag
알면	알/pvg+면/ecs
비의	비/ncn+의/jcm
속력을	속력/ncn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
빗방울은	빗방울/ncn+은/jxc
자유	자유/ncn
낙하하므로	낙하/ncpa+하/xsv+므로/ecs
속력이	속력/ncn+이/jcs
계속	계속/mag
커지기	커지/pvg+기/etn
때문에	때문/nbn+에/jca
이런	이런/mmd
방법으로는	방법/ncn+으로jca+는/jxc
비의	비/ncn+의/jcm
속력을	속력/ncn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/px+ㄹ까/ef+요/jxf
?	?/sf
운동은	운동/ncn+은/jxc
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
똑같은	똑같/paa+은/etm
운동을	운동/ncn+을/jco
하는	하/pvg+는/etm
물체가	물체/ncn+가/jcs
관찰자의	관찰/ncn+자/xsn+의/jcm
운동	운동/ncn
상태에	상태/ncn+에/jca
따라서	따라서/maj
다르게	다르/paa+게/ecs
보이기도	보이/px+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecx
보자	보/px+자/ef
.	./sf
땅을	땅/ncn+을/jco
움직이지	움직이/pvg+지/ecx
않는	않/px+는/etm
기준이라고	기준/ncn+이/jp+라고/ecs
생각하고	생각/ncpa+하/xsv+고/ecs
,	,/sp
땅에	땅/ncn+에/jca
대해서	대하/pvg+어서/ecs
V	V/f
의	의/jcm
속력으로	속력/ncn+으로/jca
움직이는	움직이/pvg+는/etm
차가	차/ncn+가/jcs
있다고	있/paa+다고/ecs
하자	하/pvg+자/ef
.	./sf
(	(/sl
1	1/nnc
)	)/sr
이	이/jcs
차를	차/ncn+를/jco
땅	땅/ncn
위에서	위/ncn+에서/jca
가만히	가만/ncn+히/xsa
서	서/pvg+어/ecx
있는	있/px+는/etm
관찰자가	관찰/ncn+자/xsn+가/jcs
보면	보/pvg+면/ecs
,	,/sp
차는	차/ncn+는/jxc
그냥	그냥/mag
V	V/f
의	의/jcm
속력으로	속력/ncn+으로/jca
움직이는	움직이/pvg+는/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
(	(/sl
2	2/nnc
)	)/sr
그러나	그러나/maj
관찰자가	관찰자/ncn+가/jcs
같은	같/paa+은/etm
방향으로	방향/ncn+으로/jca
V	V/f
의	의/jcm
속력으로	속력/ncn+으로/jca
움직이면서	움직이/pvg+면서/ecs
차를	차/ncn+를/jco
보면	보/pvg+면/ecs
,	,/sp
차는	그/mmd+차/ncn+는/jxc
정지해	정지/ncpa+하/xsv+어/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
(	(/sl
3	3/nnc
)	)/sr
이번에는	이/mmd+번/nbn+에/jca+는/jxc
관찰자가	관찰/ncn+자/xsn+가/jcs
V	V/f
의	의/jcm
속력으로	속력/ncn+으로/jca
차와	차/ncn+와/jct
반대	반대/ncn
방향으로	방향/ncn+으로/jca
가면서	가/pvg+면서/ecs
차를	차/ncn+를/jco
본다면	보/pvg+ㄴ다면/ecs
,	,/sp
그	그/mmd
차는	차/ncn+는/jxc
2	2/nnc
V	V/f
의	의/jcm
속력으로	속력/ncn+으로/jca
움직이는	움직이/pvg+는/etm
것처럼	것/nbn+처럼/jca
보일	보이/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
모든	모든/mma
경우를	경우/ncn+를/jco
하나의	하나/ncn+의/jcm
식으로	식/ncn+으로/jca
압축하면	압축/ncpa+하/xsv+면/ecs
V	V/f
=	=/sy
V	V/f
-	-/sd
V	V/f
이다	이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
V	V/f
는	는/jxc
땅을	땅/ncn+을/jco
기준으로	기준/ncn+으로/jca
한	하/pvg+ㄴ/etm
차의	차/nbu+의/jcm
속력	속력/ncn
,	,/sp
V	V/f
는	는/jxc
땅을	땅/ncn+을/jco
기준으로	기준/ncn+으로/jca
한	하/pvg+ㄴ/etm
관찰자의	관찰/ncn+자/xsn+의/jcm
속력	속력/ncn
,	,/sp
그리고	그리고/maj
V	V/f
는	는/jxc
관찰자가	관찰/ncn+자/xsn+가/jcs
보게	보/pvg+게/ecs
되는	되/pvg+는/etm
차의	차/ncn+의/jcm
속력이다	속력/ncn+이/jp+다/ef
.	./sf
위의	위/ncn+의/jcm
세	세/nnc
가지	가지/nbu
경우를	경우/ncn+를/jco
식으로	식/ncn+으로/jca
정리해	정리/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
(	(/sl
1	1/nnc
)	)/sr
의	의/jcm
경우는	경우/ncn+는/jxc
V	V/f
=	=/sy
V	V/f
-	-/sd
0	0/nnc
=	=/sy
V	V/f
(	(/sl
2	2/nnc
)	)/sr
의	의/jcm
경우는	경우/ncn+는/jxc
V	V/f
=	=/sy
V	V/f
-	-/sd
V	V/f
=	=/sy
0	0/nnc
(	(/sl
3	3/nnc
)	)/sr
의	의/jcm
경우는	경우/ncn+는/jxc
V	V/f
=	=/sy
V	V/f
-(-	-/sd+(/sl+-/sd
V	V/f
)=	)/sr+=/sy
2	2/nnc
V	V/f
이다	이/jp+다/ef
.	./sf
그러면	그러면/maj
관찰자가	관찰/ncn+자/xsn+가/jcs
운동	운동/ncn
물체에	물체/ncn+에/jca
대해서	대하/pvg+어서/ecs
직각으로	직각/ncn+으로/jca
움직인다거나	움직이/pvg+ㄴ다/ef+거나/ecc
또는	또는/maj
비스듬한	비스듬/ncps+하/xsm+ㄴ/etm
각도로	각도/ncn+로/jca
움직일	움직이/pvg+ㄹ/etm
때는	때/ncn+는/jxc
어떻게	어떻/pad+게/ecs
될까	되/pvg+ㄹ까/ef
?	?/sf
이처럼	이/npd+처럼/jca
2	2/nnc
차원	차원/nbu
또는	또는/maj
3	3/nnc
문제를	차원/nbu+의/jcm+문제/ncn+를/jco
다루기	다루/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/etm
속력과	속력/ncn+과/jcj
속도의	속도/ncn+의/jcm
차이부터	차이/ncn+부터/jxc
알아야	알/pvg+아야/ecs
한다	하/px+ㄴ다/ef
.	./sf
즉	즉/mag
위에서	위/ncn+에서/jca
말한	말/ncpa+하/xsv+ㄴ/etm
속력에	속력/ncn+에/jca
덧붙여	덧붙이/pvg+어/ecs
방향을	방향/ncn+을/jco
고려해야	고려/ncpa+하/xsv+어야/ecs
하는	하/px+는/etm
속도라는	속도/ncn+라/ef+는/etm
개념과	개념/ncn+과/jcj
그	그/mmd
덧셈법을	덧셈/ncn+법/ncn+을/jco
배워야	배우/pvg+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
그것은	그것/npd+은/jxc
앞의	앞/ncn+의/jcm
여러	여러/mma
문제에서	문제/ncn+에서/jca
다룬	다루/pvg+ㄴ/etm
것처럼	것/nbn+처럼/jca
벡터라는	벡터/ncn+라/ef+는/etm
양의	양/ncn+의/jcm
공통적인	공통/ncn+적/xsn+이/jp+ㄴ/etm
덧셈법이다	덧셈/ncn+법/ncn+이/jp+다/ef
.	./sf
즉	즉/mag
두	두/nnc
속도의	속도/ncn+의/jcm
덧셈은	덧셈/ncn+은/jxc
평행사변형을	평행사변형/ncn+을/jco
121042400       
만들어	만들/pvg+어/ecx
더하는	더하/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
,	,/sp
옆의	옆/ncn+의/jcm
그림처럼	그림/ncn+처럼/jca
두	두/nnc
속도를	속도/ncn+를/jco
더하는	더하/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
벡터의	벡터/ncn+의/jcm
뺄셈은	뺄셈/ncn+은/jxc
덧셈의	덧셈/ncn+의/jcm
응용이다	응용/ncn+이/jp+다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
V	V/f
-	-/sd
V	V/f
=	=/sy
V	V/f
+(-	+/sy+(/sl+-/sd
V	V/f
)	)/sr
이므로	이/jp+므로/ecs
,	,/sp
이제	이제/mag
다시	다시/mag
문제로	문제/ncn+로/jca
돌아가서	돌/pvg+아/ecs+가/pvg+서/ecs
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
여기서	여기/npd+서/jca
V	V/f
는	는/jxc
땅에서	땅/ncn+에서/jca
본	보/pvg+ㄴ/etm
차의	차/ncn+의/jcm
속도	속도/ncn
(	(/sl
관찰자의	관찰/ncn+자/xsn+의/jcm
속도	속도/ncn
)	)/sr
이고	이/jp+고/ecc
,	,/sp
V	V/f
는	는/jxc
땅에서	땅/ncn+에서/jca
본	보/pvg+ㄴ/etm
비의	비/ncn+의/jcm
속도	속도/ncn
,	,/sp
그리고	그리고/maj
V	V/f
-	-/sd
V	V/f
는	는/jxc
차	차/ncn
속에서	속/ncn+에서/jca
본	보/pvg+ㄴ/etm
비의	비/ncn+의/jcm
속도이다	속도/ncn+이/jp+다/ef
.	./sf
따라서	따라서/maj
빗방울이	빗방울/ncn+이/jcs
기울어진	기울/paa+어/ecx+지/px+ㄴ/etm
각도	각도/ncn
를	를/jco
재고	재/pvg+고/ecs
차의	차/ncn+의/jcm
속력	속력/ncn
V	V/f
만	만/jxc
알면	알/pvg+면/ecs
,	,/sp
위의	위/ncn+의/jcm
삼각형에서	삼각형/ncn+에서/jca
로	로/jca
계산해	계산/ncpa+하/xsv+어/ecx
낼	내/px+ㄹ/etm
수	수/nbn
있다	있/paa+다/ecs
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
,	,/sp
각도가	각도/ncn+가/jcs
45	45/nnc
이면	이/jp+면/ecs
tan45	tan/f+45/nnc
=	=/sy
1	1/nnc
이므로	이/jp+므로/ecs
V	V/f
=	=/sy
V	V/f
가	가/jcc
되어	되/pvg+어/ecs
차의	차/ncn+의/jcm
속력이	속력/ncn+이/jcs
비의	비/ncn+의/jcm
속력과	속력/ncn+과/jct
같게	같/paa+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
끝으로	끝/ncn+으로/jca
,	,/sp
빗방울은	빗방울/ncn+은/jxc
처음에는	처음/ncn+에/jca+는/jxc
자유	자유/ncn
낙하	낙하/ncn
운동을	운동/ncn+을/jco
하지만	하/pvg+지만/ecs
속도가	속도/ncn+가/jcs
어느	어느/mmd
정도	정도/ncn
이상	이상/ncn
커지면서부터는	커지/pvg+면서/ecs+부터/jxc+는/jxc
저항력과	저항/ncn+력/xsn+과/jcj
중력이	중력/ncn+이/jcs
평형을	평형/ncn+을/jco
이루어	이루/pvg+어/ecs
등속운동을	등속/ncn+운동/ncn+을/jco
하게	하/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
이때의	이/mmd+때/ncn+의/jcm
