<tdmsfile>
#17:ph08[1003]
나트륨	나트륨/ncn
닫힌	닫히/pvg+ㄴ/etm
경로라고	경로/ncn+라/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
#16:ph08[75]
따라서	따라서/maj
힘이	힘/ncn+이/jcs
계의	계/ncn+의/jcm
형태를	형태/ncn+를/jco
변화시켜	변화/ncpa+시키/xsv+어/ecs
계의	계/ncn+의/jcm
퍼텐셜에너지를	퍼텐셜에너지/ncn+를/jco
변화시키면	변화/ncpa+시키/xsv+면/ecs
퍼텐셜에너지	퍼텐셜에너지/ncn
변화는	변화/ncn+는/jxc
힘에	힘/ncn+에/jca
의해	의하/pvg+어/ecs
행해진	행하/pvg+어/ecx+지/px+ㄴ/etm
음의	음/ncn+의/jcm
일이	일/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
#16:ph08[73]
무게	무게/ncn
또는	또는/maj
용수철	용수철/ncn
힘	힘/ncn
같은	같/paa+은/etm
단일힘	단일/ncn+힘/ncn
F	F/f
가	가/jcs
한	한/nnc
입자에	입자/ncn+에/jca
작용하여	작용/ncpa+하/xsv+여/ecs
어느	어느/mmd
양만큼의	양/ncn+만큼/nbn+의/jcm
일	일/ncn
W	W/f
을	을/jco
한다고	하/pvg+ㄴ다/ef+고/jcr
가정하자	가정/ncpa+하/xsv+자/ef
.	./sf
#16:ph08[58]
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
4	4/nno
)	)/sr
에서	에서/jca
공이	공/ncn+이/jcs
올라가면서	오르/pvg+아/ecs+가/pvg+면서/ecs
운동에너지를	운동/ncn+에너지/ncn+를/jco
잃으면	잃/pvg+으면/ecs
공으로부터	공/ncn+으로/jca+부터/jxc
공	공/ncn
-	-/sd
지구계로	지구/ncn+계/xsn+로/jco
에너지가	에너지/ncn+가/jcs
전달된다고	전달/ncpa+되/xsv+ㄴ다/ef+고/jcr
말할	말/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있으며	있/paa+으며/ecs
중력	중력/ncn
퍼텐셜에너지로	퍼텐셜에너지/ncn+로/jco
저장된다	저장/ncpa+되/xsv+ㄴ다/ef
.	./sf
#16:ph08[51]
이는	이/npd+는/jxc
토막의	토막/ncn+의/jcm
운동에너지	운동/ncn+에너지/ncn
변화는	변화/ncn+는/jxc
크기가	크기/ncn+가/jcs
같고	같/paa+고/ecc
변화의	변화/ncn+의/jcm
방향이	방향/ncn+이/jcs
정반대인	정반대/ncn+이/jp+ㄴ/etm
용수철의	용수철/ncn+의/jcm
탄성	탄성/ncn
퍼텐셜에너지	퍼텐셜에너지/ncn
변화를	변화/ncn+를/jco
수반함을	수반/ncpa+하/xsv+ㅁ/etn+을/jco
말해주고	말/ncpa+하/xsv+어/ecx+주/px+고/ecx
있다	있/px+다/ef
.	./sf
#16:ph08[25]
힘이	힘/ncn+이/jcs
용수철의	용수철/ncn+의/jcm
힘	힘/ncn
또는	또는/maj
중력인	중력/ncn+이/jp+ㄴ/etm
경우에	경우/ncn+에/jca
이	이/mmd
시험을	시험/ncn+을/jco
수행할	수행/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#16:ph08[16]
Rheims	nq[Rheims/f
대성당	대/xp+성당/ncn]nq
[	[/sl
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
2	2/nno
)]	)/sr+]/sr
를	를/jco
이루고	이루/pvg+고/ecx
있는	있/px+는/etm
각각의	각각/ncn+의/jcm
돌들이	돌/ncn+들/xsn+이/jcs
채석장에서	채석/ncn+장/xsn+에서/jca
현재의	현재/ncn+의/jcm
높이로	높이/ncn+로/jca
올려졌을	올리/pvg+어/ecx+지/px+었/ep+을/etm
때	때/ncn
퍼텐셜에너지는	퍼텐셜에너지/ncn+는/jxc
돌	돌/ncn
-	-/sd
지구계에	지구/ncn+계/xsn+에/jca
저장된	저장/ncpa+되/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#16:ph08[13]
에너지를	에너지/ncn+를/jco
기술하는	기술/ncpa+하/xsv+는/etm
용어에서	용어/ncn+에서/jca
퍼텐셜에너지는	퍼텐셜에너지/ncn+는/jxc
종종	종종/mag
계내에	계/ncn+내/nbn+에/jca
저장된	저장/ncpa+되/xsv+ㄴ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
하는데	하/pvg+는데/ecs
이런	이런/mmd
의미에서	의미/ncn+에서/jca
이것은	이것/npd+은/jxc
운동을	운동/ncn+을/jco
유발시킬	유발/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#16:ph07[579]
(	(/sl
a	a/f
)	)/sr
그들이	그/npp+들/xsn+이/jcs
같은	같/paa+은/etm
길이	길이/ncn
만큼	만큼/nbn
늘려질	늘리/pvg+어/ecx+지/px+ㄹ/etm
때와	때/ncn+와/jcj
(	(/sl
b	b/f
)	)/sr
같은	같/paa+은/etm
힘에	힘/ncn+에/jca
의해	의하/pvg+어/ecs
늘려질	늘리/pvg+어/ecx+지/px+ㄹ/etm
때	때/nbn
어느	어느/mmd
용수철이	용수철/ncn+이/jcs
더	더/mag
많이	많/paa+이/xsa
일하겠는가	일/ncpa+하/xsv+겠/ep+는가/ef
?	?/sf
#16:ph07[569]
각각의	각각/ncn+의/jcm
상황에	상황/ncn+에/jca
대하여	대하/pvg+여/ecs
운동방향이	운동/ncn+방향/ncn+이/jcs
양	양/ncn
,	,/sp
음	음/ncn
또는	또는/maj
0	0/nnc
일	이/jp+ㄹ/etm
때	때/ncn
상자에	상자/ncn+에/jca
가해진	가하/pvg+어/ecx+지/px+ㄴ/etm
일이	일/ncn+이/jcs
있는지	있/paa+는지/ecs
,	,/sp
있으면	있/paa+으면/ecs
얼마인지	얼마/ncn+이/jp+ㄴ지/ecs
계산하여라	계산/ncpa+하/xsv+여라/ef
.	./sf
#16:ph07[504]
한	한/nnc
개	개/nbu
이상의	이상/ncn+의/jcm
힘이	힘/ncn+이/jcs
물체에	물체/ncn+에/jca
작용할	작용/ncpa+하/xsv+ㄹ/etm
때	때/ncn
식	식/ncn
(	(/sl
7	7/nno
-	-/sd
1	1/nno
),	)/sr+,/sp
(	(/sl
7	7/nno
-	-/sd
2	2/nno
),	)/sr+,/sp
(	(/sl
7	7/nno
-	-/sd
4	4/nno
)	)/sr
에	에/jca
있는	있/paa+는/etm
힘은	힘/ncn+은/jxc
물체에	물체/ncn+에/jca
대한	대하/pvg+ㄴ/etm
알짜힘이다	알짜/ncn+힘/ncn+이/jp+다/ef
.	./sf
#16:ph07[489]
나의	나/npp+의/jcm
계에서	계/ncn+에서/jca
F	F/f
의	의/jcm
작용점은	작용/ncn+점/ncn+은/jxc
움직이고	움직이/pvg+고/ecc
,	,/sp
그	그/mmd
책이	책/ncn+이/jcs
높이	높이/ncn
h	h/f
만큼	만큼/nbn
위로	위/ncn+로/jca
움직일	움직이/pvg+ㄹ/etm
때	때/ncn
힘	힘/ncn
F	F/f
가	가/jcs
한일은	하/pvg+ㄴ/etm+일/ncn+은/jxc
+	+/sy
mgh	mgh/f
이다	이/jp+다/ef
.	./sf
#16:ph07[457]
입자의	입자/ncn+의/jcm
변위와	변위/ncn+와/jcj
속도와	속도/ncn+와/jct
같은	같/paa+은/etm
물리량에	물리/ncn+량/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
다른	다르/paa+ㄴ/etm
관성계에	관성/ncn+계/xsn+에/jca
있는	있/paa+는/etm
관측자들이	관측/ncn+자/xsn+들/xsn+이/jcs
서로	서로/mag
다른	다르/paa+ㄴ/etm
물리량을	물리/ncn+량/ncn+을/jco
관측할	관측/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#16:ph07[418]
빛의	빛/ncn+의/jcm
속력에	속력/ncn+에/jca
가깝게	가깝/paa+게/ecs
움직이는	움직이/pvg+는/etm
입자에	입자/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
Newton	Newton/f
의	의/jcm
역학이	역학/ncn+이/jcs
맞지	맞/pvg+지/ecx
않고	않/px+고/ecs
Einstein	Einstein/f
의	의/jcm
특수	특수/ncn
상대성	상대/ncn+성/xsn
이론으로	이론/ncn+으로/jca
대처해야	대처/ncpa+하/xsv+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
#16:ph07[313]
이	이/mmd
정리는	정리/ncn+는/jxc
3	3/nnc
차원	차원/ncn
공간을	공간/ncn+을/jco
움직이는	움직이/pvg+는/etm
입자의	입자/ncn+의/jcm
일반적	일반/ncn+적/xsn
운동인	운동/ncn+이/jp+ㄴ/etm
경우에도	경우/ncn+에/jca+도/jxc
성립하는	성립/ncpa+하/xsv+는/etm
법칙으로	법칙/ncn+으로/jca
Newton	Newton/f
의	의/jcm
제	제/xp
2	2/nno
법칙으로부터	법칙/ncn+으로/jca+부터/jxc
증명될	증명/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#16:ph07[250]
용수철의	용수철/ncn+의/jcm
길이	길이/ncn
자체는	자체/ncn+는/jxc
알	알/pvg+ㄹ/etm
필요가	필요/ncn+가/jcs
없으며	없/paa+으며/ecs
,	,/sp
식	식/ncn
(	(/sl
7	7/nno
-	-/sd
16	16/nno
)	)/sr
에	에/jca
해당하는	해당/ncpa+하/xsv+는/etm
용수철의	용수철/ncn+의/jcm
힘	힘/ncn
관계식	관계/ncn+식/ncn
모양을	모양/ncn+을/jco
그림	그림/ncn
(	(/sl
7	7/nno
-	-/sd
12	12/nno
)	)/sr
에	에/jca
나타내었다	나타내/pvg+었/ep+다/ef
.	./sf
#16:ph07[233]
용수철에	용수철/ncn+에/jca
의해	의하/pvg+어/ecs
물체에	물체/ncn+에/jca
한	하/pvg+ㄴ/etm
일	일/ncn
W	W/f
는	는/jxc
식	식/ncn
(	(/sl
7	7/nno
-	-/sd
10	10/nno
)	)/sr
의	의/jcm
힘	힘/ncn
F	F/f
에	에/jca
식	식/ncn
(	(/sl
7	7/nno
-	-/sd
16	16/nno
)	)/sr
의	의/jcm
표현을	표현/ncn+을/jco
대입하여	대입/ncpa+하/xsv+여/ecs
적분하면	적분/ncpa+하/xsv+면/ecs
얻어진다	얻/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
#16:ph07[230]
여기서	여기/npd+서/jca
용수철의	용수철/ncn+의/jcm
힘은	힘/ncn+은/jxc
용수철의	용수철/ncn+의/jcm
한쪽	한쪽/ncn
끝의	끝/ncn+의/jcm
위치에	위치/ncn+에/jca
의존하여	의존/ncpa+하/xsv+여/ecs
변화하는	변화/ncpa+하/xsv+는/etm
힘으로	힘/ncn+으로/jca
7	7/nno
-	-/sd
3	3/nno
절에서와	절/ncn+에서/jca+와/jct
같이	같/paa+이/xsa
F	F/f
(	(/sl
x	x/f
)	)/sr
로	로/jca
표시할	표시/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#16:ph07[164]
일을	일/ncn+을/jco
구하는	구하/pvg+는/etm
문제를	문제/ncn+를/jco
다룰	다루/pvg+ㄹ/etm
때	때/ncn
,	,/sp
우선	우선/mag
자유물체	자유/ncn+물체/ncn
그림을	그림/ncn+을/jco
그려놓고	그리/pvg+어/ecx+놓/px+고/ecc
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
순서로	순서/ncn+로/jca
질문들을	질문/ncn+들/xsn+을/jco
해가며	하/pvg+어/ecx+가/px+며/ecs
답하면	답/ncpa+하/xsv+면/ecs
좋다	좋/paa+다/ef
.	./sf
#16:ph07[135]
낮은쪽	낮/paa+은/etm+쪽/nbn
도르래에	도르래/ncn+에/jca
감겨져	감기/pvg+어/ecx+지/px+어/ecx
있는	있/px+는/etm
끈은	끈/ncn+은/jxc
끈의	끈/ncn+의/jcm
장력	장력/ncn
T_	T_/f
{	{/sl
L	L/f
}	}/sr
의	의/jcm
두	두/nnc
배에	배/nbu+에/jca
해당하는	해당/ncpa+하/xsv+는/etm
알짜	알짜/ncn
힘으로	힘/ncn+으로/jca
도르래를	도르래/ncn+를/jco
끌어올리고	끌/pvg+어/ecs+올리/pvg+고/ecx
있다	있/px+다/ef
.	./sf
#16:ph07[42]
일의	일/ncn+의/jcm
SI	SI/f
단위는	단위/ncn+는/jxc
뉴턴	뉴턴/nq
-	-/sd
미터이며	미터/nbu+이/jp+며/ecc
,	,/sp
이는	이/npd+는/jxc
1800	1800/nno
년대	년대/nbu
영국의	영국/nq+의/jcm
과학자	과학/ncn+자/xsn
James	James/f
Prescott	Prescott/f
Joule	Joule/f
의	의/jcm
이름을	이름/ncn+을/jco
따라	따르/pvg+아/ecs
특별히	특별/ncn+히/xsa
줄	줄/ncn
(	(/sl
J	J/su
)	)/sr
로	로/jca
표기한다	표기/ncpa+하/xsv+ㄴ다/ef
.	./sf
#16:ph07[17]
W	W/f
는	는/jxc
학생에	학생/ncn+에/jca
의하여	의하/pvg+여/ecs
침대에	침대/ncn+에/jca
행하여진	행하/pvg+어/ecx+지/px+ㄴ/etm
일이라고	일/ncn+이/jp+라/ef+고/jcr
부르나	부르/pvg+나/ecs
엄밀하게는	엄밀/ncps+하/xsm+게/ecs+는/jxc
학생이	학생/ncn+이/jcs
작용한	작용/ncpa+하/xsv+ㄴ/etm
힘	힘/ncn
F	F/f
에	에/jca
의하여	의하/pvg+여/ecs
침대에	침대/ncn+에/jca
행하여진	행하/pvg+어/ecx+지/px+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
#16:ph06[654]
언덕길	언덕/ncn+길/ncn
정상에서	정상/ncn+에서/jca
지면이	지면/ncn+이/jcs
스키선수에	스키/ncn+선수/ncn+에/jca
가하는	가하/pvg+는/etm
수직상방력이	수직/ncn+상방/ncn+력/xsn+이/jcs
320	320/nnc
N	N/f
이고	이/jp+고/ecc
오목하게	오목/ncps+하/xsm+게/ecs
파인	파이/pvg+ㄴ/etm
곡면의	곡면/ncn+의/jcm
최저점에서는	최저/ncn+점/ncn+에서/jca+는/jxc
지면이	지면/ncn+이/jcs
스키선수에	스키/ncn+선수/ncn+에/jca
가하는	가하/pvg+는/etm
수직상방력은	수직/ncn+상방/ncn+력/xsn+은/jxc
1	1/nnc
.	./sf
#16:ph06[622]
이	이/mmd
모퉁이의	모퉁이/ncn+의/jcm
반지름은	반지름/ncn+은/jxc
30	30/nnc
ft	ft/su
이고	이/jp+고/ecc
차의	차/ncn+의/jcm
속력이	속력/ncn+이/jcs
10	10/nnc
m	m/su
/	//sp
h	h/su
일	이/jp+ㄹ/etm
때	때/ncn
차내에	차/ncn+내/nbn+에/jca
느슨하게	느슨/ncps+하/xsm+게/ecs
달려있는	달리/pvg+어/ecx+있/px+는/etm
손잡이가	손잡이/ncn+가/jcs
수직면과	수직/ncn+면/ncn+과/jct
이루는	이루/pvg+는/etm
각도는	각도/ncn+는/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#16:ph06[548]
C	C/f
가	가/jcs
자세에	자세/ncn+에/jca
상관없이	상관/ncn+없/paa+이/xsa
일정하다고	일정/ncps+하/xsm+다/ef+고/jcr
가정하고	가정/ncpa+하/xsv+고/ecc
급하강하는	급하강/ncpa+하/xsv+는/etm
자세의	자세/ncn+의/jcm
경우와	경우/ncn+와/jct
늦게	늦/paa+게/ecs
하강하는	하강/ncpa+하/xsv+는/etm
자세에서의	자세/ncn+에서/jca+의/jcm
유효	유효/ncn
단면적	단면적/ncn
값을	값/ncn+을/jco
비를	비/ncn+를/jco
구하여라	구하/pvg+여라/ef
.	./sf
#16:ph06[421]
소녀는	소녀/ncn+는/jxc
자신의	자신/npp+의/jcm
등과	등/ncn+과/jcj
발	발/ncn
사이에	사이/ncn+에/jca
최소한의	최소한/ncn+의/jcm
미는	밀/pvg+는/etm
힘을	힘/ncn+을/jco
가하여	가하/pvg+여/ecs
굴뚝	굴뚝/ncn
아래로	아래/ncn+로/jca
미끄러져	미끄러지/pvg+어/ecs
내려가지	내리/pvg+어/ecs+가/pvg+지/ecx
않도록	않/px+도록/ecs
하고	하/pvg+고/ecx
있다	있/px+다/ef
.	./sf
#16:ph06[308]
Einstein	Einstein/f
은	은/jxc
그의	그/npp+의/jcm
전	전/mma
생애에	생애/ncn+에/jca
걸쳐서	걸치/pvg+어서/ecs
이	이/mmd
힘들이	힘/ncn+들/xsn+이/jcs
단	단/mma
하나의	하나/nnc+의/jcm
통일된	통일/ncpa+되/xsv+ㄴ/etm
힘의	힘/ncn+의/jcm
다른	다르/paa+ㄴ/etm
표현들이라는	표현/ncn+들/xsn+이/jp+라/ef+는/etm
것을	것/nbn+을/jco
규명하고자	규명/ncpa+하/xsv+고자/ecs
노력하였다	노력/ncpa+하/xsv+었/ep+다/ef
.	./sf
#16:ph06[306]
그것들은	그것/npd+들/xsn+은/jxc
방사성	방사성/ncn
붕괴에서	붕괴/ncn+에서/jca
일어나는	일어나/pvg+는/etm
501032380       <                       </sl
b	b/f
>	>/sr
약한	약하/paa+ㄴ/etm
상호작용	상호/ncn+작용/ncn
501032430       </                      </sl+//sp
b	b/f
>	>/sr
과	과/jcj
양성자와	양성자/ncn+와/jcj
중성자를	중성자/ncn+를/jco
결합시켜서	결합/ncpa+시키/xsv+어서/ecs
원자핵을	원자/ncn+핵/ncn+을/jco
단단히	단단/ncn+히/xsa
묶어주는	묶/pvg+어/ecx+주/px+는/etm
501032530       <                       </sl
b	b/f
>	>/sr
강한	강하/paa+ㄴ/etm
상호작용	상호/ncn+작용/ncn
501032580       </                      </sl+//sp
b	b/f
>	>/sr
이	이/jcs
바로	바로/mag
그것이다	그것/npd+이/jp+다/ef
.	./sf
#16:ph06[305]
그밖에	그/npd+밖에/jxc
아주	아주/mag
작은	작/paa+은/etm
거리에서만	거리/ncn+에서/jca+만/jxc
작용하는	작용/ncpa+하/xsv+는/etm
기본	기본/ncn
힘들이	힘/ncn+들/xsn+이/jcs
있는데	있/paa+는데/ecs
그	그/mmd
힘들은	힘/ncn+들/xsn+은/jxc
감각으로는	감각/ncn+으로/jca+는/jxc
직접	직접/mag
경험할	경험/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
것들이다	것/nbn+들/xsn+이/jp+다/ef
.	./sf
#16:ph06[264]
예제	예제/ncn
(	(/sl
6	6/nno
-	-/sd
10	10/nno
)	)/sr
에서처럼	에서/jca+처럼/jca
질량	질량/ncn
m	m/f
인	이/jp+ㄴ/etm
차가	차/ncn+가/jcs
20	20/nnc
m	m/su
/	//sp
s	s/su
의	의/jcm
속력	속력/ncn
v	v/f
로	로/jca
반지름	반지름/ncn
R	R/f
이	이/jcs
190	190/nnc
m	m/su
이고	이/jp+고/ecc
경사진	경사/ncn+지/pvg+ㄴ/etm
커브길을	커브/ncn+길/ncn+을/jco
돌고	돌/pvg+고/ecx
있다고	있/px+다/ef+고/jcr
하자	하/pvg+자/ef
.	./sf
#16:ph06[260]
그것은	그것/npd+은/jxc
식	식/ncn
(	(/sl
6	6/nno
-	-/sd
27	27/nno
)	)/sr
이	이/jcs
장난감	장난/ncn+감/xsn
차에서부터	차/ncn+에서/jca+부터/jxc
자전거	자전거/ncn
또는	또는/maj
무거운	무겁/paa+ㄴ/etm
트럭에	트럭/ncn+에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
어떤	어떤/mmd
질량의	질량/ncn+의/jcm
차에도	차/ncn+에/jca+도/jxc
적용된다는	적용/ncpa+되/xsv+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
뜻한다	뜻하/pvg+ㄴ다/ef
.	./sf
#16:ph06[146]
그는	그/npp+는/jxc
먼저	먼저/mag
그녀의	그녀/npp+의/jcm
낙하산을	낙하산/ncn+을/jco
펴서	펴/pvg+어서/ecs
놓아	놓/pvg+아/ecx
준	주/px+ㄴ/etm
다음	다음/ncn
자신의	자신/npp+의/jcm
낙하산을	낙하산/ncn+을/jco
폈는데	펴/pvg+었/ep+는데/ecs
땅에	땅/ncn+에/jca
충돌하기	충돌/ncpa+하/xsv+기/etn
겨우	겨우/mag
10	10/nnc
초	초/nbu
전이었다	전/ncn+이/jp+었/ep+다/ef
.	./sf
#16:ph06[71]
공공도로에서	공공/ncn+도로/ncn+에서/jca
가장	가장/mag
긴	기/paa+ㄴ/etm
미끄럼	미끄럼/ncn
자국을	자국/ncn+을/jco
만든	만들/pvg+ㄴ/etm
기록은	기록/ncn+은/jxc
1960	1960/nno
년	년/nbu
영국의	영국/nq+의/jcm
고속도로	고속도로/ncn
위에서	위/ncn+에서/jca
Jaguar	Jaguar/f
라는	라/ef+는/etm
자동차가	자동/ncn+차/ncn+가/jcs
만든	만들/pvg+ㄴ/etm
290	290/nnc
m	m/su
(	(/sl
대략	대략/ncn
950	950/nnc
ft	ft/su
)	)/sr
였다	이/jp+었/ep+다/ef
.	./sf
#16:ph06[27]
그림	그림/ncn
(	(/sl
6	6/nno
-	-/sd
1	1/nno
g	g/su
)	)/sr
는	는/jxc
400	400/nnc
g	g/su
의	의/jcm
벽돌이	벽돌/ncn+이/jcs
떨어져	떨어지/pvg+어/ecs
움직일	움직이/pvg+ㄹ/etm
때까지	때/ncn+까지/jxc
가하는	가하/pvg+는/etm
힘을	힘/ncn+을/jco
천천히	천천/ncn+히/xsa
증가시키는	증가/ncpa+시키/xsv+는/etm
실험을	실험/ncn+을/jco
한	하/pvg+ㄴ/etm
결과를	결과/ncn+를/jco
나타내고	나타내/pvg+고/ecx
있다	있/px+다/ef
.	./sf
#16:ph06[7]
이	이/mmd
장에서는	장/ncn+에서/jca+는/jxc
주로	주로/mag
비교적	비교/ncn+적/xsn
느린	느리/paa+ㄴ/etm
속도로	속도/ncn+로/jca
서로	서로/mag
반대	반대/ncn
방향으로	방향/ncn+으로/jca
움직이는	움직이/pvg+는/etm
고체	고체/ncn
표면들	표면/ncn+들/xsn
사이에	사이/ncn+에/jca
존재하는	존재/ncpa+하/xsv+는/etm
마찰력을	마찰/ncn+력/xsn+을/jco
다룬다	다루/pvg+ㄴ다/ef
.	./sf
#16:ph05[822]
이	이/mmd
과정에서	과정/ncn+에서/jca
한쪽	한쪽/ncn
줄과	줄/ncn+과/jcj
다른	다르/paa+ㄴ/etm
한쪽	한쪽/ncn
줄에	줄/ncn+에/jca
걸리는	걸리/pvg+는/etm
장력	장력/ncn
T_	T_/f
{	{/sl
1	1/nnc
},	}/sr+,/sp
T_	T_/f
{	{/sl
2	2/nnc
}	}/sr
는	는/jxc
서로	서로/mag
다르게	다르/paa+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
#16:ph05[628]
만약	만약/mag
단단한	단단/ncps+하/xsm+ㄴ/etm
막대로	막대/ncn+로/jca
이	이/mmd
막대를	막대/ncn+를/jco
치면	치/pvg+면/ecs
막대가	막대/ncn+가/jcs
부러져서	부러지/pvg+어서/ecs
바닥에	바닥/ncn+에/jca
떨어지지만	떨어지/pvg+지만/ecs
술잔은	술잔/ncn+은/jxc
제자리에	제자리/ncn+에/jca
있고	있/paa+고/ecc
술이	술/ncn+이/jcs
엎질러지지도	엎질르/pvg+어/ecx+지/px+지/ecx+도/jxc
않는다	않/px+는다/ef
.	./sf
#16:ph05[519]
물체가	물체/ncn+가/jcs
받는	받/pvg+는/etm
알짜힘의	알짜/ncn+힘/ncn+의/jcm
0	0/nnc
이면	이/jp+면/ecs
처음에	처음/ncn+에/jca
가만히	가만/ncn+히/xsa
있던	있/paa+던/etm
물체가	물체/ncn+가/jcs
가만히	가만/ncn+히/xsa
있고	있/paa+고/ecc
움직이던	움직이/pvg+던/etm
것은	것/nbn+은/jxc
일정한	일정/ncps+하/xsm+ㄴ/etm
속도로	속도/ncn+로/jca
곧게	곧/paa+게/ecs
움직인다	움직이/pvg+ㄴ다/ef
.	./sf
#16:ph05[510]
입자나	입자/ncn+나/jcj
입자	입자/ncn
같은	같/paa+은/etm
물체의	물체/ncn+의/jcm
속도는	속도/ncn+는/jxc
다른	다르/paa+ㄴ/etm
물체로부터	물체/ncn+로/jca+부터/jxc
밀거나	밀/pvg+거나/ecc
당기는	당기/pvg+는/etm
힘을	힘/ncn+을/jco
받을	받/pvg+을/etm
때	때/ncn
속도가	속도/ncn+가/jcs
바뀌며	바뀌/pvg+며/ecc
가속도가	가속도/ncn+가/jcs
생긴다	생기/pvg+ㄴ다/ef
.	./sf
#16:ph05[410]
다음에는	다음/ncn+에/jca+는/jxc
세	세/nnc
끈이	끈/ncn+이/jcs
모이는	모이/pvg+는/etm
마디만이	마디/ncn+만/nbn+이/jcs
세	세/nnc
힘이	힘/ncn+이/jcs
다	다/mag
작용하는	작용/ncpa+하/xsv+는/etm
유일한	유일/ncps+하/xsm+ㄴ/etm
점이며	점/ncn+이/jp+며/ecc
여기에	여기/npd+에/jca
Newton	Newton/f
의	의/jcm
제	제/xp
2	2/nno
법칙을	법칙/ncn+을/jco
적용해야	적용/ncpa+하/xsv+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
#16:ph05[280]
힘	힘/ncn
F_	F_/f
{	{/sl
ES	ES/f
}	}/sr
가	가/jcs
걸려	걸리/pvg+어/ecs
지구는	지구/ncn+는/jxc
가속되나	가속/ncpa+되/xsv+나/ecs
그	그/mmd
덩치가	덩치/ncn+가/jcs
너무	너무/mag
커서	크/paa+어서/ecs
실제로	실제로/mag
가속도의	가속도/ncn+의/jcm
효과를	효과/ncn+를/jco
알	알/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
#16:ph05[185]
다른	다르/paa+ㄴ/etm
그림은	그림/ncn+은/jxc
자유물체	자유/ncn+물체/ncn
그림이며	그림/ncn+이/jp+며/ecc
물체를	물체/ncn+를/jco
점으로	점/ncn+으로/jca
나타내고	나타내/pvg+고/ecc
걸린	걸리/pvg+ㄴ/etm
힘을	힘/ncn+을/jco
벡터로	벡터/ncn+로/jca
나타내고	나타내/pvg+고/ecc
그	그/mmd
점에	점/ncn+에/jca
끝이	끝/ncn+이/jcs
오도록	오/pvg+도록/ecs
그린다	그리/pvg+ㄴ다/ef
.	./sf
#16:ph05[53]
볼링공을	볼링/ncn+공/ncn+을/jco
돌고	돌/pvg+고/ecx
있는	있/px+는/etm
회전목마	회전/ncn+목마/ncn
위에	위/ncn+에/jca
놓으면	놓/pvg+으면/ecs
이렇다할	이렇/pad+다/ef+하/pvg+ㄹ/etm
힘이	힘/ncn+이/jcs
작용하고	작용/ncpa+하/xsv+고/ecx
있지	있/px+지/ecx
않는	않/px+는/etm
데도	데/nbn+도/jxc
공은	공/ncn+은/jxc
정지상태를	정지/ncn+상태/ncn+를/jco
유지하지	유지/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
#16:ph05[51]
기차가	기차/ncn+가/jcs
운동상태에	운동/ncn+상태/ncn+에/jca
있으며	있/paa+으며/ecc
기차가	기차/ncn+가/jcs
직선	직선/ncn
철로	철로/ncn
위를	위/ncn+를/jco
일정한	일정/ncps+하/xsm+ㄴ/etm
속력으로	속력/ncn+으로/jca
운동할	운동/ncpa+하/xsv+ㄹ/etm
때에만	때/ncn+에/jca+만/jxc
추는	추/ncn+는/jxc
기록된	기록/ncpa+되/xsv+ㄴ/etm
곳에	곳/ncn+에/jca
머물	머물/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#16:ph05[39]
만약	만약/mag
공기	공기/ncn
분사	분사/ncn
테이블	테이블/ncn
위에서	위/ncn+에서/jca
책을	책/ncn+을/jco
밀어주면	밀/pvg+어/ecx+주/px+면/ecs
