
<tdmsfile>

머리는	머리/ncn+는/jxc
,	,/sp
횡성현	횡성현/nq
,	,/sp
홍천현	홍천현/nq
,	,/sp
금성현	금성현/nq
,	,/sp
양구현	양구현/nq
만일	만일/mag
이런	이런/mmd
기록들이	기록/ncn+들/xsn+이/jcs
남아	남/pvg+아/ecx
있지	있/px+지/ecx
않았다면	않/px+았/ep+다/ef+면/ecs
,	,/sp
400	400/nnc
년	년/nbu
내지	내지/maj
500	500/nnc
년	년/nbu
동안의	동안/ncn+의/jcm
열목어의	열목어/ncn+의/jcm
분포상황을	분포/ncn+상황/ncn+을/jco
우리가	우리/npp+가/jcs
어떻게	어떻/pad+게/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있겠는가	있/paa+겠/ep+는가/ef
.	./sf

생각하면	생각/ncpa+하/xsv+면/ecs
할수록	하/pvg+ㄹ수록/ecs
조상들에게	조상/ncn+들/xsn+에게/jca
감사한	감사/ncpa+하/xsv+ㄴ/etm
마음이	마음/ncn+이/jcs
생기고	생기/pvg+고/ecs
그분들의	그/mmd+분/nbn+들/xsn+의/jcm
훈기가	훈기/ncn+가/jcs
피부로	피부/ncn+로/jca
느껴진다	느끼/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf

이	이/mmd
기사가	기사/ncn+가/jcs
강릉대도호부의	강릉대도호부/nq+의/jcm
명승지를	명승/ncn+지/xsn+를/jco
소개하는	소개/ncpa+하/xsv+는/etm
난에	난/ncn+에/jca
올라	오르/pvg+아/ecx
있는	있/px+는/etm
것을	것/nbn+을/jco
보면	보/pvg+면/ecs
오대산	오대산/nq
일대가	일대/ncn+가/jcs
강릉대도호부의	강릉대도호부/nq+의/jcm
행정구역내에	행정/ncn+구역/ncn+내/nbn+에/jca
있었던	있/paa+었/ep+던/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

생각하면	생각/ncpa+하/xsv+면/ecs
할수록	하/pvg+ㄹ수록/ecs
조상들께	조상/ncn+들/xsn+께/jcs
죄송하고	죄송/ncps+하/xsm+고/ecc
또	또/maj
수치스러운	수치/ncps+스럽/xsm+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf

그중	그/mmd+중/nbn
약	약/mma
반수를	반수/ncn+를/jco
인공적으로	인공/ncn+적/xsn+으로/jca
수정시킬	수정/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있었고	있/paa+었/ep+고/ecs
,	,/sp
약	약/mma
1	1/nnc
개월	개월/nbu
후에는	후/ncn+에/jca+는/jxc
90	90/nnc
퍼센트	퍼센트/nbu
내외를	내외/ncn+를/jco
부화시킬	부화/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf

그뿐	그/npd+뿐/nbn
아니라	아니/paa+라/ecs
,	,/sp
실지렁이나	실지렁이/ncn+나/jcj
배합사료	배합/ncpa+사료/ncn
등으로	등/nbn+으로/jca
전체	전체/ncn
길이	길이/ncn
6	6/nnc
센티미터	센티미터/nbu
내외가	내외/ncn+가/jcc
되기까지	되/pvg+기/etn+까지/jxc
사육할	사육/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf

그것이	그것/npd+이/jcs
1985	1985/nno
년	년/nbu
3	3/nno
월까지는	월/nbu+까지/jxc+는/jxc
전장	전장/ncn
25	25/nnc
센티미터	센티미터/nbu
정도까지	정도/ncn+까지/jxc
컸고	크/paa+었/ep+고/ecs
,	,/sp
1986	1986/nno
년에는	년/nbu+에/jca+는/jxc
그중	그/mmd+중/nbn
세	세/nnc
마리에서	마리/nbu+에서/jca
채란하는	채란/ncpa+하/xsv+는/etm
데	데/nbn
성공하였다	성공/ncpa+하/xsv+었/ep+다/ef
.	./sf

이	이/mmd
나루터는	나루터/ncn+는/jxc
처음에	처음/ncn+에/jca
제	nq[제/xp
2	2/nno
한강교라고	한강/ncn+교/xsn]nq+라고/jcr
불렀다가	부르/pvg+었/ep+다가/ecs
나중에	나중/ncn+에/jca
양화교라고	양화교/nq+라고/jcr
부르게	부르/pvg+게/ecx
된	되/pvg+ㄴ/etm
다리가	다리/ncn+가/jcs
걸리기까지	걸리/pvg+기/etn+까지/jxc
쓰였다	쓰이/pvg+었/ep+다/ef
.	./sf

처음에	처음/ncn+에/jca
본	보/pvg+ㄴ/etm
것은	것/nbn+은/jxc
중학생	중학생/ncn
때인	때/ncn+이/jp+ㄴ/etm
1920	1920/nno
년대이고	년대/nbu+이/jp+고/ecs
,	,/sp
마지막으로	마지막/ncn+으로/jca
본	보/pvg+ㄴ/etm
것은	것/nbn+은/jxc
1949	1949/nno
년이었다	년/nbu+이/jp+었/ep+다/ef
.	./sf

처음에	처음/ncn+에/jca
그물을	그물/ncn+을/jco
실은	싣/pvg+ㄴ/etm
전마선이	전마/ncn+선/xsn+이/jcs
빠른	빠르/paa+ㄴ/etm
속도로	속도/ncn+로/jca
달리면서	달리/pvg+면서/ecc
그물을	그물/ncn+을/jco
친다	치/pvg+ㄴ다/ef
.	./sf

강가에서	강가/ncn+에서/jca
4	4/nnc
,	,/sp
5	5/nnc
명씩	명/nbu+씩/xsn
두	두/nnc
패로	패/ncn+로/jca
갈라서서	갈라서/pvg+서/ecs
기다리고	기다리/pvg+고/ecx
있던	있/px+던/etm
장정들이	장정/ncn+들/xsn+이/jcs
그물을	그물/ncn+을/jco
당기기	당기/pvg+기/etn
시작한다	시작/ncpa+하/xsv+ㄴ다/ef
.	./sf

처음엔	처음/ncn+에/jca+ㄴ/jxc
장단을	장단/ncn+을/jco
맞추는	맞추/pvg+는/etm
소리가	소리/ncn+가/jcs
구슬프게	구슬프/paa+게/ecs
들리지만	들리/pvg+지만/ecs
,	,/sp
그물이	그물/ncn+이/jcs
좁혀짐에	좁혀지/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
속도가	속도/ncn+가/jcs
점점	점점/mag
빨라진다	빠르/paa+아/ecx+지/px+ㄴ다/ef
.	./sf

은백색의	은백색/ncn+의/jcm
뱅어떼가	뱅어/ncn+떼/xsn+가/jcs
갈	가/pvg+ㄹ/etm
곳을	곳/ncn+을/jco
잃고	잃/pvg+고/ecs
우왕좌왕하는	우왕좌왕/mag+하/xsv+는/etm
모습이	모습/ncn+이/jcs
보이면	보이/pvg+면/ecs
구경꾼들까지	구경/ncn+꾼/xsn+들/xsn+까지/jxc
합세해서	합세/ncpa+하/xsv+어서/ecs
그물을	그물/ncn+을/jco
끈다	끌/pvg+ㄴ다/ef
.	./sf

잡히는	잡히/pvg+는/etm
양이	양/ncn+이/jcs
많지	많/paa+지/ecx
않은	않/px+은/etm
까닭인지	까닭/ncn+이/jp+ㄴ지/ecs
,	,/sp
뱅어는	뱅어/ncn+는/jxc
기다리고	기다리/pvg+고/ecx
있던	있/px+던/etm
구매자들에게	구매/ncn+자/xsn+들/xsn+에게/jca
그	그/mmd
자리에서	자리/ncn+에서/jca
넘어가고	넘어가/pvg+고/ecx
만다	말/px+ㄴ다/ef
.	./sf

어부들의	어부/ncn+들/xsn+의/jcm
말에	말/ncn+에/jca
따르면	따르/pvg+면/ecs
,	,/sp
붕퉁뱅어가	붕퉁뱅어/ncn+가/jcs
가장	가장/mag
많이	많/paa+이/xsa
잡히는	잡히/pvg+는/etm
것은	것/nbn+은/jxc
동지	동지/ncn
전후라고	전후/ncn+라고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf

이것을	이것/npd+을/jco
보고	보/pvg+고/ecs
서글픈	서글프/paa+ㄴ/etm
생각에	생각/ncpa+에/jca
잠기는	잠기/pvg+는/etm
것은	것/nbn+은/jxc
필자	필자/ncn
한	한/nnc
사람만은	사람/ncn+만/jxc+은/jxc
아닐	아니/paa+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

뱅어	뱅어/ncn
,	,/sp
국수뱅어	국수뱅어/ncn
,	,/sp
붕퉁뱅어	붕퉁뱅어/ncn
,	,/sp
벚꽃뱅어	벚꽃뱅어/ncn
,	,/sp
도화뱅어	도화뱅어/ncn
,	,/sp
젓뱅어	젓뱅어/ncn
,	,/sp
실뱅어	실뱅어/ncn
,	,/sp
전문가가	전문/ncn+가/xsn+가/jcc
아니면	아니/paa+면/ecs
7	7/nnc
종을	종/ncn+을/jco
정확하게	정확/ncps+하/xsm+게/ecs
구별하기는	구별/ncpa+하/xsv+기/etn+는/jxc
어려울	어렵/paa+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

등지느러미와	등/ncn+지느러미/ncn+와/jcj
꼬리지느러미	꼬리/ncn+지느러미/ncn
사이에	사이/ncn+에/jca
기름지느러미가	기름/ncn+지느러미/ncn+가/jcs
있고	있/paa+고/ecs
,	,/sp
꼬리지느러미는	꼬리/ncn+지느러미/ncn+는/jxc
제비꼬리처럼	제비/ncn+꼬리/ncn+처럼/jca
둘로	둘/nnc+로/jca
갈라진다	가르/pvg+아/ecx+지/px+ㄴ다/ef
.	./sf

물속에서는	물속/ncn+에서/jca+는/jxc
반투명이어서	반/ncn+투명/ncn+이/jp+어서/ecs
잘	잘/mag
보이지는	보이/pvg+지/ecx+는/jxc
않으나	않/px+으나/ecs
,	,/sp
잡아올리면	잡/pvg+아/ecs+올리/pvg+면/ecs
바로	바로/mag
백색으로	백색/ncn+으로/jca
변한다	변하/pvg+ㄴ다/ef
.	./sf

몸의	몸/ncn+의/jcm
길이는	길이/ncn+는/jxc
10	10/nnc
센티미터	센티미터/nbu
내외의	내외/ncn+의/jcm
붕퉁뱅어가	붕퉁뱅어/ncn+가/jcs
가장	가장/mag
큰	크/paa+ㄴ/etm
종이어서	종/ncn+이/jp+어서/ecs
15	15/nnc
내지	내지/maj
17	17/nnc
센티미터	센티미터/nbu
,	,/sp
젓뱅어가	젓뱅어/ncn+가/jcs
가장	가장/mag
작아	작/paa+아/ecs
6	6/nnc
센티미터를	센티미터/nbu+를/jco
넘지	넘/pvg+지/ecx
못한다	못하/px+ㄴ다/ef
.	./sf

주로	주로/mag
새우를	새우/ncn+를/jco
잡았으나	잡/pvg+았/ep+으나/ecs
,	,/sp
거기에	거기/npd+에/jca
섞여서	섞이/pvg+어서/ecs
심심찮게	심심찮/paa+게/ecs
뱅어가	뱅어/ncn+가/jcs
잡혔다	잡히/pvg+었/ep+다/ef
.	./sf

하성면에는	하성면/nq+에/jca+는/jxc
뱅어의	뱅어/ncn+의/jcm
가공공장까지	가공/ncn+공장/ncn+까지/jxc
있었는데	있/paa+었/ep+는데/ecs
,	,/sp
그것은	그것/npd+은/jxc
붕퉁뱅어를	붕퉁뱅어/ncn+를/jco
비롯하여	비롯/ncps+하/xsm+어/ecs
겨울에서	겨울/ncn+에서/jca
봄에	봄/ncn+에/jca
걸쳐서	걸치/pvg+어서/ecs
잡히는	잡히/pvg+는/etm
종류들을	종류/ncn+들/xsn+을/jco
노린	노리/pvg+ㄴ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf

많이	많/paa+이/xsa
잡히지는	잡히/pvg+지/ecx+는/jxc
않았으나	않/px+았/ep+으나/ecs
,	,/sp
한	한/nnc
번에	번/nbu+에/jca
열	열/nnc
마리씩만	마리/nbu+씩/xsn+만/jxc
잡혀도	잡히/pvg+어도/ecs
돈벌이가	돈/ncn+벌이/ncn+가/jcc
된다고	되/pvg+ㄴ다/ef+고/jcr
즐거워하고	즐겁/paa+어/ecx+하/px+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

1987	1987/nno
년	년/nbu
가을	가을/ncn
,	,/sp
전라남도	전라남도/nq
영광군을	영광군/nq+을/jco
방문했을	방문/ncpa+하/xsv+었/ep+을/etm
때는	때/ncn+는/jxc
젓뱅어에	젓뱅어/ncn+에/jca
관한	관하/pvg+ㄴ/etm
풍성한	풍성/ncps+하/xsm+ㄴ/etm
이야기를	이야기/ncn+를/jco
들었으나	듣/pvg+었/ep+으나/ecs
,	,/sp
제철이	제철/ncn+이/jcc
아니어서	아니/paa+어서/ecs
잡고	잡/pvg+고/ecc
젓을	젓/ncn+을/jco
담는	담/pvg+는/etm
광경을	광경/ncn+을/jco
보지는	보/pvg+지/ecx+는/jxc
못했다	못하/px+었/ep+다/ef
.	./sf

동지	동지/ncn
전후에	전후/ncn+에/jca
얼음을	얼음/ncn+을/jco
깨고	깨/pvg+고/ecs
그물을	그물/ncn+을/jco
쳐서	치/pvg+어서/ecs
잡으며	잡/pvg+으며/ecs
,	,/sp
입춘	입춘/ncn
이후에는	이후/ncn+에/jca+는/jxc
몸색이	몸색/ncn+이/jcs
점점	점점/mag
파랗게	파랗/paa+게/ecs
변하여	변하/pvg+어/ecs
드물게	드물/pvg+게/ecx
되고	되/pvg+고/ecs
,	,/sp
얼음이	얼음/ncn+이/jcs
녹으면	녹/pvg+으면/ecs
볼	보/pvg+ㄹ/etm
수	수/nbn
없게	없/paa+게/ecx
된다고	되/pvg+ㄴ다/ef+고/jcr
해서	하/pvg+어서/ecs
빙어라고	빙어/ncn+라고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf

적어도	적/paa+어도/ecs
150	150/nnc
년	년/nbu
이전에	이전/ncn+에/jca
이미	이미/mag
얼음	얼음/ncn
밑에	밑/ncn+에/jca
그물을	그물/ncn+을/jco
치고	치/pvg+고/ecs
뱅어를	뱅어/ncn+를/jco
잡았다고	잡/pvg+았/ep+다/ef+고/jcr
하니	하/pvg+니/ecc
,	,/sp
조상들의	조상/ncn+들/xsn+의/jcm
슬기로움에	슬기/ncps+롭/xsm+ㅁ/etn+에/jca
감탄할	감탄/ncpa+하/xsv+ㄹ/etm
따름이다	따름/nbn+이/jp+다/ef
.	./sf

오늘날	오늘날/ncn
겨울이면	겨울/ncn+이/jp+면/ecs
여기저기에서	여기저기/ncn+에서/jca
얼음	얼음/ncn
밑에	밑/ncn+에/jca
그물을	그물/ncn+을/jco
치고	치/pvg+고/ecs
물고기를	물고기/ncn+를/jco
잡는데	잡/pvg+는데/ecs
,	,/sp
그때부터	그/mmd+때/ncn+부터/jxc
맥을	맥/ncn+을/jco
이어온	잇/pvg+어/ecx+오/px+ㄴ/etm
일인	일/ncn+이/jp+ㄴ/etm
듯하다	듯하/px+다/ef
.	./sf

이렇게	이렇/pad+게/ecs
검토해	검토/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
,	,/sp
백어나	백어/ncn+나/jcj
뱅어는	뱅어/ncn+는/jxc
150	150/nnc
년	년/nbn
내지	내지/ncn
300	300/nnc
년	년/nbu
이상이나	이상/ncn+이나/jxc
우리	우리/npp
민족이	민족/ncn+이/jcs
사용해온	사용/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
이름이다	이름/ncn+이/jp+다/ef
.	./sf

은어	은어/ncn
3	3/nnc
종	종/ncn
뱅어	뱅어/ncn
무리는	무리/ncn+는/jxc
바다에서	바다/ncn+에서/jca
살다가	살/pvg+다가/ecs
산란	산란/ncn
시기가	시기/ncn+가/jcc
되면	되/pvg+면/ecs
온	온/mma
강의	강/ncn+의/jcm
하류에	하류/ncn+에/jca
나타난다	나타나/pvg+ㄴ다/ef
.	./sf

우리	우리/npp
나라에	나라/ncn+에/jca
나타나는	나타나/pvg+는/etm
종은	종/ncn+은/jxc
7	7/nnc
종이지만	종/ncn+이/jp+지만/ecs
,	,/sp
중국의	중국/nq+의/jcm
경우는	경우/ncn+는/jxc
21	21/nnc
종이나	종/ncn+이나/jxc
된다	되/pvg+ㄴ다/ef
.	./sf

바다에서	바다/ncn+에서/jca
클	크/paa+ㄹ/etm
대로	대로/jxc
커서	크/paa+어서/ecs
어른이	어른/ncn+이/jcc
되면	되/pvg+면/ecs
철을	철/ncn+을/jco
따라	따르/pvg+아/ecs
강의	강/ncn+의/jcm
하류에	하류/ncn+에/jca
나타난다	나타나/pvg+ㄴ다/ef
.	./sf

옛날에는	옛날/ncn+에/jca+는/jxc
압록강	압록강/nq
,	,/sp
대동강	대동강/nq
,	,/sp
청천강	청천강/nq
,	,/sp
한강	한강/nq
,	,/sp
금강	금강/nq
,	,/sp
영산강	영산강/nq
,	,/sp
낙동강	낙동강/nq
할	하/pvg+ㄹ/etm
것	것/nbn
없이	없/paa+이/xsa
뱅어가	뱅어/ncn+가/jcs
구름떼처럼	구름/ncn+떼/ncn+처럼/jca
몰려	몰리/pvg+어/ecs
뱅어어업이	뱅어/ncn+어업/ncn+이/jcs
이루어졌다	이루/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

그들	그/npp+들/xsn
3	3/nnc
종의	종/ncn+의/jcm
산출량이	산출/ncn+량/ncn+이/jcs
1950	1950/nno
년대	년대/nbu
초까지도	초/ncn+까지/jxc+도/jxc
연산	연산/ncn
120	120/nnc
만	만/nnc
근이나	근/nbu+이나/jxc
되었던	되/pvg+었/ep+던/etm
것이	것/nbn+이/jcs
2	2/nnc
,	,/sp
3	3/nnc
만	만/nnc
근으로	근/nbu+으로/jca
감소되었다고	감소/ncpa+되/xsv+었/ep+다/ef+고/jcr
하니	하/pvg+니/ecc
전멸	전멸/ncn
직전이라고	직전/ncn+이/jp+라/ef+고/ecs
보아야	보/pvg+아야/ecx
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

그	그/mmd
원인이	원인/ncn+이/jcs
공장	공장/ncn
폐수로	폐수/ncn+로/jca
수질이	수질/ncn+이/jcs
오염된	오염/ncpa+되/xsv+ㄴ/etm
데에	데/nbn+에/jca
있다고	있/paa+다/ef+고/jcr
하니	하/pvg+니/ecc
문제는	문제/ncn+는/jxc
심각하다	심각/ncps+하/xsm+다/ef
.	./sf

한강을	한강/nq+을/jco
비롯하여	비롯/ncpa+하/xsv+어/ecs
남한의	남한/nq+의/jcm
각	각/mma
하천의	하천/ncn+의/jcm
경우도	경우/ncn+도/jxc
별로	별로/mag
다를	다르/paa+ㄹ/etm
것이	것/nbn+이/jcs
없다	없/paa+다/ef
.	./sf

역사를	역사/ncn+를/jco
거꾸로	거꾸로/mag
돌리려는	돌리/pvg+려/ecs+는/etm
사람들의	사람/ncn+들/xsn+의/jcm
소행이라고	소행/ncn+이/jp+라/ef+고/jcr
생각하면	생각/ncpa+하/xsv+면/ecs
서글프다기보다는	서글프/paa+다/ef+기/etn+보다/jca+는/jxc
참을	참/pvg+을/etm
수	수/nbn
없는	없/paa+는/etm
분노를	분노/ncn+를/jco
느낀다	느끼/pvg+ㄴ다/ef
.	./sf


서유구가	서유구/nq+가/jcs
쓴	쓰/pvg+ㄴ/etm
이런	이런/mmd
글을	글/ncn+을/jco
보지	보/pvg+지/ecx
못했다면	못하/px+었/ep+다/ef+면/ecs
,	,/sp
필자는	필자/ncn+는/jxc
이	이/mmd
물고기에	물고기/ncn+에/jca
대하여	대하/pvg+어/ecs
큰	크/paa+ㄴ/etm
관심을	관심/ncn+을/jco
갖지	갖/pvg+지/ecx
않았을	않/px+았/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

허미수는	허미수/nq+는/jxc
어떤	어떤/mmd
사람인가	사람/ncn+이/jp+ㄴ가/ef
?	?/sf
시인이었던가	시인/ncn+이/jp+었/ep+던가/ef
,	,/sp
벼슬을	벼슬/ncn+을/jco
싫어한	싫/paa+어/ecx+하/px+ㄴ/etm
선비였던가	선비/ncn+이/jp+었/ep+던가/ef
,	,/sp
그런	그런/mmd
생각을	생각/ncn+을/jco
하면서	하/pvg+면서/ecs
인명사전을	인명/ncn+사전/ncn+을/jco
들추어보았다	들추/pvg+어/ecx+보/px+았/ep+다/ef
.	./sf

미수감미어라는	미수감미어/ncn+라/ef+는/etm
방언이	방언/ncn+이/jcs
어떤	어떤/mmd
형태로든	형태/ncn+로/jca+든/jxc
남아	남/pvg+아/ecx
있지	있/px+지/ecx
않을까	않/px+을까/ef
생각해서였다	생각/ncpa+하/xsv+어서/ecs+이/jp+었/ep+다/ef
.	./sf

그러나	그러나/maj
그로부터	그/npd+로/jca+부터/jxc
10	10/nnc
여	여/xsn
년이	년/ncn+이/jcs
지난	지나/pvg+ㄴ/etm
1985	1985/nno
년에	년/nbu+에/jca
와서야	오/pvg+아서/ecs+야/jxc
겨우	겨우/mag
미수개미	미수개미/ncn
,	,/sp
미수감이	미수감이/ncn
,	,/sp
미수갬이	미수갬이/ncn
등이	등/nbn+이/jcs
임진강	임진강/nq
중	중/nbn
.	./sf

그런	그런/mmd
사실을	사실/ncn+을/jco
알고	알/pvg+고/ecx
나서도	나/px+서/ecs+도/jxc
미수감미어가	미수감미어/ncn+가/jcs
어떤	어떤/mmd
물고기인지	물고기/ncn+이/jp+ㄴ지/ef
실물을	실물/ncn+을/jco
놓고	놓/pvg+고/ecs
확인	확인/ncn
할	하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되기까지는	되/pvg+기/etn+까지/jxc+는/jxc
많은	많/paa+은/etm
시간이	시간/ncn+이/jcs
흘렀다	흐르/pvg+었/ep+다/ef
.	./sf

통일로를	통일로/nq+를/jco
따라	따르/pvg+아/ecs
파주군	파주군/nq
문산을	문산/nq+을/jco
지나	지나/pvg+아/ecs
임진각	임진각/nq
가까운	가깝/paa+ㄴ/etm
곳에	곳/ncn+에/jca
이르렀다	이르/pvg+었/ep+다/ef
.	./sf

툭	툭/mag
튀어나온	튀/pvg+어/ecx+나오/px+ㄴ/etm
이마는	이마/ncn+는/jxc
주둥이로	주둥이/ncn+로/jca
제대로	제대로/mag
이어지지	잇/pvg+어/ecx+지/px+지/ecx
못한	못하/px+ㄴ/etm
채	채/nbn
옴폭	옴폭/mag
꺼지고	꺼지/paa+고/ecs
,	,/sp
두	두/nnc
눈은	눈/ncn+은/jxc
크고	크/paa+고/ecc
사이가	사이/ncn+가/jcs
좁다	좁/paa+다/ef
.	./sf

일본	일본/nq
사람들이	사람/ncn+들/xsn+이/jcs
뱀	뱀/ncn
대신	대신/ncn
도마뱀을	도마뱀/ncn+을/jco
붙여서	붙이/pvg+어서/ecs
도마뱀모래무지라고	도마뱀모래무지/ncn+라고/jcr
한	하/pvg+ㄴ/etm
것도	것/nbn+도/jxc
오십보에	오십/nnc+보/nbu+에/jca
백보	백/nnc+보/nbu
,	,/sp
찬양할	찬양/ncpa+하/xsv+ㄹ/etm
것이	것/nbn+이/jcs
못	못/mag
된다	되/pvg+ㄴ다/ef
.	./sf

해동하면서	해동/ncpa+하/xsv+면서/ecs
상류로	상류/ncn+로/jca
이동을	이동/ncn+을/jco
한다는	하/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
겨울을	겨울/ncn+을/jco
하류에서	하류/ncn+에서/jca
보냈다는	보내/pvg+었/ep+다/ef+는/etm
사실을	사실/ncn+을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf

미수개미가	미수개미/ncn+가/jcs
상류로	상류/ncn+로/jca
이동하는	이동/ncpa+하/xsv+는/etm
까닭은	까닭/ncn+은/jxc
산란을	산란/ncn+을/jco
하기	하/pvg+기/etn
위해서라고	위하/pvg+어서/ecs+라/ef+고/jcr
볼	보/pvg+ㄹ/etm
수	수/nbn
밖에	밖에/jxc
없다	없/paa+다/ef
.	./sf

그렇다면	그렇다면/maj
하류에서	하류/ncn+에서/jca
산란을	산란/ncn+을/jco
하지	하/pvg+지/ecx
않고	않/px+고/ecc
상류에서	상류/ncn+에서/jca
산란을	산란/ncn+을/jco
하는	하/pvg+는/etm
이유는	이유/ncn+는/jxc
무엇인가	무엇/npd+이/jp+ㄴ가/ef
?	?/sf
잉어와	잉어/ncn+와/jcj
어류들의	어류/ncn+들/xsn+의/jcm
알은	알/ncn+은/jxc
일반적으로	일반/ncn+적/xsn+으로/jca
물	물/ncn
밑에	밑/ncn+에/jca
가라앉는다	가라앉/pvg+는다/ef
.	./sf

만일	만일/mag
물에	물/ncn+에/jca
떠서	뜨/paa+어서/ecs
바다에까지	바다/ncn+에/jca+까지/jxc
밀려가면	밀리/pvg+어/ecs+가/pvg+면/ecs
살아서	살/pvg+아서/ecs
돌아올	돌/pvg+아/ecs+오/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

그러므로	그러므로/maj
산란	산란/ncn
장소가	장소/ncn+가/jcs
바다에	바다/ncn+에/jca
가까우면	가깝/paa+으면/ecs
바다에까지	바다/ncn+에/jca+까지/jxc
밀려가서	밀리/pvg+어/ecs+가/pvg+서/ecs
다시는	다시/mag+는/jxc
태어난	태어나/pvg+ㄴ/etm
곳으로	곳/ncn+으로/jca
돌아오지	돌/pvg+아/ecs+오/pvg+지/ecx
못한다	못하/px+ㄴ다/ef
.	./sf

상류까지	상류/ncn+까지/jxc
거슬러올라가서	거스르/pvg+어/ecs+오르/pvg+아/ecs+가/pvg+서/ecs
산란을	산란/ncn+을/jco
하게	하/pvg+게/ecx
되면	되/pvg+면/ecs
그런	그런/mmd
화를	화/ncn+를/jco
모면할	모면/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

지척이	지척/ncn+이/jcs
천리란	천리/ncn+란/jxc
이런	이런/mmd
경우를	경우/ncn+를/jco
두고	두/pvg+고/ecs
하는	하/pvg+는/etm
말일	말/ncn+이/jp+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

현대인들은	현대/ncn+인/xsn+들/xsn+은/jxc
임진강과	임진강/nq+과/jcj
한강	한강/nq
사이의	사이/ncn+의/jcm
거리를	거리/ncn+를/jco
우습게	우습/paa+게/ecs
볼지	보/pvg+ㄹ지/ecs
모르나	모르/pvg+나/ecs
,	,/sp
동력선이	동력/ncn+선/xsn+이/jcs
나타나기	나타나/pvg+기/etn
전의	전/ncn+의/jcm
어부들에게는	어부/ncn+들/xsn+에게/jca+는/jxc
먼	멀/paa+ㄴ/etm
거리였을	거리/ncn+이/jp+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

그	그/mmd
때문에	때문/nbn+에/jca
같은	같/paa+은/etm
종이면서	종/ncn+이/jp+면서/ecs
임진강에서는	임진강/nq+에서/jca+는/jxc
미수개미	미수개미/ncn
,	,/sp
한강에서는	한강/nq+에서/jca+는/jxc
공지라고	공지/ncn+라고/jcr
부르게	부르/pvg+게/ecx
된	되/pvg+ㄴ/etm
것이리라	것/nbn+이/jp+리라/ef
.	./sf

지난	지나/pvg+ㄴ/etm
30	30/nnc
년	년/nbu
동안	동안/ncn
한강	한강/nq
여기저기에서	여기저기/npd+에서/jca
채집이	채집/ncn+이/jcc
되기는	되/pvg+기/etn+는/jxc
했지만	하/pvg+었/ep+지만/ecs
,	,/sp
한	한/nnc
군데서	군데/nbu+서/jca
한번에	한/nnc+번/nbu+에/jca
많이	많/paa+이/xsa
잡힌	잡히/pvg+ㄴ/etm
일은	일/ncn+은/jxc
없었다	없/paa+었/ep+다/ef
.	./sf

철에	철/ncn+에/jca
따라	따르/pvg+아/ecs
많이	많/paa+이/xsa
잡히기도	잡히/pvg+기/etn+도/jxc
하지만	하/pvg+지만/ecs
,	,/sp
다른	다르/paa+ㄴ/etm
종들에	종/ncn+들/xsn+에/jca
비하면	비하/pvg+면/ecs
수량이	수량/ncn+이/jcs
적은	적/paa+은/etm
편이라는	편/nbn+이/jp+라/ef+는/etm
답을	답/ncn+을/jco
얻었다	얻/pvg+었/ep+다/ef
.	./sf

경기도	경기도/nq
가평군	가평군/nq
청평지방에서	청평/nq+지방/ncn+에서/jca
그렇게	그렇/pad+게/ecs
부른다고	부르/pvg+ㄴ다/ef+고/jcr
하나	하/pvg+나/ecs
,	,/sp
이	이/mmd
사실을	사실/ncn+을/jco
